trade_id,coin,type,timeframe,entry_price,exit_price,profit,profit_percentage,entry_time,exit_time,tp1_time,tp2_time,tp3_time
#1029,_FLOKI,short,4h,0.0002304373322179804,0.00023085927014296798,0.6434124664037602,0.6434124664037602,12/06/2024 12:00,12/06/2024 15:00,12/06/2024 13:00,,
#1038,__BRETT,short,1h,0.19706674713974248,0.2014056508705093,-2.2017432132728323,-2.2017432132728323,12/06/2024 13:00,12/06/2024 15:00,,,
#1069,_JUP,long,1h,1.3444214506206154,1.3444214506206154,0.0,0.0,12/06/2024 15:00,12/06/2024 15:00,,,
#1071,SEI,long,1h,0.6864171919977765,0.6864171919977765,0.0,0.0,12/06/2024 15:00,12/06/2024 15:00,,,
#1025,EGLD,short,1h,53.08366121072038,53.53416607470798,0.02028915389766367,0.02028915389766367,12/06/2024 12:00,12/06/2024 15:00,12/06/2024 13:00,,
#1008,ZEC,short,1h,69.72873756479453,70.06825933565278,0.42122959433082197,0.42122959433082197,12/06/2024 09:00,12/06/2024 15:00,12/06/2024 13:00,,
#1026,NEXO,short,1h,1.484755828745931,1.5071008476121273,-0.5499223241822775,-0.5499223241822775,12/06/2024 12:00,12/06/2024 15:00,12/06/2024 13:00,,
#1016,___NEIRO,short,1h,0.0017406739355951644,0.001752588347939262,0.12875577494747004,0.12875577494747004,12/06/2024 10:00,12/06/2024 15:00,12/06/2024 13:00,,
#1021,_______________DOG,short,1h,0.006704649443148729,0.006766790300209744,0.563252709681103,0.563252709681103,12/06/2024 11:00,12/06/2024 15:00,12/06/2024 12:00,12/06/2024 13:00,
#1027,PYTH,short,1h,0.5114813939125361,0.5124245959881832,0.36540189300293047,0.36540189300293047,12/06/2024 12:00,12/06/2024 15:00,12/06/2024 13:00,,
#1030,___________DEGEN,short,4h,0.018135753675138453,0.018659873592043387,-2.889981449314831,-2.889981449314831,12/06/2024 12:00,12/06/2024 15:00,,,
#1028,KSM,short,1h,45.03811483751786,45.570830537223664,0.0618411155919657,0.0618411155919657,12/06/2024 12:00,12/06/2024 15:00,12/06/2024 13:00,,
#1059,HNT,long,1h,8.705911937741575,8.580022744380315,-1.446019604396751,-1.446019604396751,12/06/2024 14:00,12/06/2024 16:00,,,
#1017,TFUEL,short,1h,0.0896799396100558,0.08973921322500153,0.4423749290326382,0.4423749290326382,12/06/2024 10:00,12/06/2024 16:00,12/06/2024 13:00,,
#1063,CVX,long,1h,7.310563311708509,7.048483282129105,-0.9800012252663606,-0.9800012252663606,12/06/2024 14:00,12/06/2024 16:00,12/06/2024 15:00,,
#1049,ETH,long,1h,3889.1469989944753,3948.7963044855533,0.8946802013944205,0.8946802013944205,12/06/2024 14:00,12/06/2024 17:00,12/06/2024 15:00,12/06/2024 16:00,12/06/2024 17:00
